catalog,series,nside,delta_disc_mas,cdf
ucac4,before,64,0.0,5.086573480640501e-06
ucac4,before,64,0.015000000000000568,0.0006714276994445462
ucac4,before,64,0.02999999999999936,0.001337768825408452
ucac4,before,64,0.04400000000000004,0.0020041099513723576
ucac4,before,64,0.06099999999999994,0.002670451077336263
ucac4,before,64,0.0779999999999994,0.0033367922033001687
ucac4,before,64,0.09200000000000053,0.004003133329264074
ucac4,before,64,0.1070000000000011,0.00467456102870862
ucac4,before,64,0.12199999999999989,0.005340902154672526
ucac4,before,64,0.13500000000000512,0.006007243280636432
ucac4,before,64,0.14900000000000002,0.006673584406600337
ucac4,before,64,0.16500000000000004,0.007339925532564243
ucac4,before,64,0.17999999999999972,0.008006266658528148
ucac4,before,64,0.19599999999999973,0.008672607784492055
ucac4,before,64,0.2129999999999974,0.009344035483936601
ucac4,before,64,0.2270000000000001,0.010010376609900506
ucac4,before,64,0.2419999999999991,0.010676717735864412
ucac4,before,64,0.2560000000000002,0.011343058861828318
ucac4,before,64,0.27200000000000024,0.012009399987792223
ucac4,before,64,0.28800000000000026,0.012675741113756129
ucac4,before,64,0.3030000000000008,0.013347168813200675
ucac4,before,64,0.3180000000000014,0.014013509939164582
ucac4,before,64,0.33399999999999963,0.014679851065128487
ucac4,before,64,0.34999999999999964,0.015346192191092392
ucac4,before,64,0.365000000000002,0.016012533317056297
ucac4,before,64,0.37900000000000134,0.016678874443020204
ucac4,before,64,0.3949999999999996,0.01734521556898411
ucac4,before,64,0.4089999999999998,0.018016643268428657
ucac4,before,64,0.4239999999999995,0.01868298439439256
ucac4,before,64,0.4380000000000006,0.019349325520356467
ucac4,before,64,0.45299999999999985,0.020015666646320374
ucac4,before,64,0.46799999999999997,0.020682007772284277
ucac4,before,64,0.484,0.021348348898248184
ucac4,before,64,0.4969999999999999,0.02201469002421209
ucac4,before,64,0.5129999999999999,0.022686117723656637
ucac4,before,64,0.5279999999999999,0.02335245884962054
ucac4,before,64,0.5410000000000004,0.024018799975584447
ucac4,before,64,0.5540000000000003,0.024685141101548354
ucac4,before,64,0.5689999999999991,0.025351482227512257
ucac4,before,64,0.5819999999999999,0.026017823353476164
ucac4,before,64,0.597999999999999,0.02668925105292071
ucac4,before,64,0.6119999999999983,0.027355592178884617
ucac4,before,64,0.625,0.02802193330484852
ucac4,before,64,0.6400000000000001,0.028688274430812427
ucac4,before,64,0.6540000000000008,0.029354615556776334
ucac4,before,64,0.668,0.030020956682740237
ucac4,before,64,0.6850000000000023,0.030687297808704144
ucac4,before,64,0.6989999999999998,0.031358725508148694
ucac4,before,64,0.7130000000000001,0.032025066634112594
ucac4,before,64,0.7270000000000001,0.0326914077600765
ucac4,before,64,0.7430000000000003,0.03335774888604041
ucac4,before,64,0.7560000000000002,0.034024090012004314
ucac4,before,64,0.7699999999999996,0.03469043113796822
ucac4,before,64,0.7839999999999989,0.03535677226393213
ucac4,before,64,0.7990000000000004,0.036028199963376674
ucac4,before,64,0.8140000000000001,0.036694541089340574
ucac4,before,64,0.8309999999999995,0.03736088221530448
ucac4,before,64,0.8469999999999995,0.03802722334126839
ucac4,before,64,0.859,0.038693564467232294
ucac4,before,64,0.8740000000000006,0.0393599055931962
ucac4,before,64,0.8900000000000006,0.04003133329264075
ucac4,before,64,0.907,0.040697674418604654
ucac4,before,64,0.9200000000000002,0.041364015544568554
